Order ID	Job ID	Job Name	Job Description	Imprints
15689	1085	War of the Roses	Digital print on the front and back of white Gildan shirts.	Direct To Garment,Front,Back
15694	1087	Selia Shirts	Digital print on front and back.	Direct To Garment,Front,Back
15729	1089	Corms	Full color print on front, One color print on back of 103 shirts	Screen Print,1-C,Back	Screen Print,Full Color,Front
15846	1096	Sharks!	Digital print on front. Unique number on left sleeve and full back.	Direct To Garment,Front
15856	1103	AP German	Digital print on front and back of white v-necks. Shipping to TX.	Direct To Garment,Front,Back
15864	1104	Sammy Seniors	Gildan Ice Gray shirts with a digital print on front and back.	Direct To Garment,Front,Back
15891	1109	Slackers	"1 XXL (AA 2001ORG natural/kelly stitching)
1 womens medium (similar color in non AA girls size)"	Embroidery
15893	1116	DC Totally Awesome	Digital print on white shirts	Direct To Garment,Front
15905	1121	Skyline Hairspray Production Shirts	White shirts with four color process print on front and one color print on back.	Screen Print,1-C,Back
15945	1123	Gadsden Flag Shirt	1 XXL daisy shirt with a digital print on front.	Direct To Garment,Front
15985	1130	Kant Touch This	Digital print on the front and back of white American Apparel t-shirts.	Direct To Garment,Front,Back
16016	1139	Weasley Tank Tops	White 2x1 Racerback tank tops with digital print on front.	Direct To Garment,Front
16018	1140	Phys Ed	Sport Gray GIldan shirt with digital print on front.	Direct To Garment,Front
16556	1145	Jaleel's Shirt	Long sleeve sport gray shirt with digital print on front, back, and both sleeves. Black and purple ink only.	Direct To Garment,Front
16839	1147	Loves Everyone / Bad Teeth	Next Level Boyfriend Tee. White with digital print.	Direct To Garment,Front
16957	1156	Say Yes Fitness	Digital print on left chest of white ladies' polo.	Direct To Garment,Front
17003	1168	Gengler-Hazel Road Trip	Black digital print on front and back of tie-dye t-shirts.	Direct To Garment,Front,Back
17110	1169	Mother's Day Shirts	Light Blue shirts with a digital print on the front.	Direct To Garment,Front
17116	1170	Shirts for Jerry's Cousin	Digital print on front, back, and sleeve of four white shirts.	Direct To Garment,Front
17118	1171	Jefferson Market and Cakery	Digital print on front and back.	Direct To Garment,Front,Back
17140	1174	Huron Soccer ALO Warm-ups	Black ALO Women's Running Warm-ups with embroidery on name on bottom in white thread and Huron Soccer Logo on left chest.	Embroidery
17199	1175	Brown Bomber Quote	Quote for 24 shirts with a two color print on front.	Screen Print,2-C,Front
17753	1197	Harbor House Towels	Embroidered Harbor House design in corner of towels.	Embroidery
17753	1198	Polos	Embroidered polos with logo on left chest.	Embroidery
18009	1218	Solo Shirt for Sara	Solo white shirt with digital print on front and back.	Direct To Garment,Front,Back
18010	1219	Scrub Hats	Embroidered Scrub Hats - 4 provided hats - unique thread on each.	Embroidery
18065	1224	Yaktopia Yaks Re-print	Digital print on front and back.	Direct To Garment,Front,Back
18066	1225	Japanese Yaks	White American Apparel shirts with digital print on front and back.	Direct To Garment,Front,Back
18143	1227	Spelling Bee Shirts	Digital print on front and back of five shirts.	Direct To Garment,Front,Back
18144	1228	Custom Shirt for Becca	Digital print on front and back of ice gray shirt.	Direct To Garment,Front,Back
18146	1229	Gaines Elementary	Natural colored Anvil shirts with a digital print on front and back.	Direct To Garment,Front,Back
18376	1242	Twin Cities Dyke March 2011	Red and dark ash shirts with one color print on front full chest.	Screen Print,1-C,Front
18381	1243	Ace Adventure	White 50/50 cotton/poly blend t-shirts with digital print on front and unique name on back.	Direct To Garment,Front,Back
18433	1250	Wash Christian Volleyball	Digital print on white Gildan 2000 t-shirts.	Direct To Garment,Front
18444	1252	Pike V-neck for Adan	Digital print on front and back of two white v-necks.	Direct To Garment,Front,Back
18464	1255	Chiavari Chairs Wedding	Digital print on left chest and full back of white polos.	Direct To Garment,Front
18485	1256	Ali's Entourage	Daisy shirts with navy digital print on front and back.	Direct To Garment,Front,Back
18487	1257	Swane Train	Digital print on front and back or 13 shirts	Direct To Garment,Front,Back
18491	1259	AO Sweatshirts	Digital print, black ink. Front of sport gray pullover hoodies.	Direct To Garment,Front
18509	1261	SDI	Sport Gray Gildan shirts with a digital print on the front RIGHT chest, left sleeve, and full back.	Direct To Garment,Front
18587	1268	HDS Class of 2011	Digital print on front and back of white shirts.	Direct To Garment,Front,Back
18596	1271	Quote for 1,000 Shirts	1,000 provided white t-shirts with shared two color print on front and no more than TEN unique four-color process prints on back.	Screen Print,2-C,Front
18601	1273	Spike Magic	Light blue Gildan t-shirts with digital print on front and back. One white shirt.	Direct To Garment,Front,Back
18777	1275	Monster Joe	Full color print on front and back of white t-shirts.	Screen Print,Full Color,Front
18787	1277	Pitch Slap T-shirts	2000 ice gray. Digital front and back.	Direct To Garment,Front,Back
18802	1280	Only the Strong Survive	Digital print on front and back of yellow and blue shirts.	Direct To Garment,Front,Back
18863	1285	Eye Got Sol	Three color print on front, one color on back on white shirts. Screen print.	Screen Print,3-C,Front
18991	1289	Shift Digital	Embroidery on left chest of pique knit shirts. Orange 1621, Gray/Silver 1918, White 1801.	Embroidery
18531	1292	Lizard Design One	Digital print on front left chest and full back.	Direct To Garment,Front
18531	1293	Lizard Design 2	Digital print on left front and full back.	Direct To Garment,Front
19080	1296	White Shirts	Digital print on left chest.	Direct To Garment,Front
19082	1298	Outta-Hand for Lupus	White women's shirts with digital print on front.	Direct To Garment,Front
19089	1302	NCIS	Digital print on front and back of Bella 1005 shirts.	Direct To Garment,Front,Back
19091	1303	Otter Shirt	White Gildan shirt with digital print on front and back.	Direct To Garment,Front,Back
19318	1308	Out There	Ice gray Gildan 2000 with digital print on front chest.	Direct To Garment,Front
19325	1310	Bark for Life Follow-Up	White shirts with digital print on front and back.	Direct To Garment,Front,Back
19333	1311	Custom Shirt for Mike	Digital print on front, back, and both sleeves of white shirt.	Direct To Garment,Front
19397	1317	77th Sustainment Brigade	White Fruit of the Loom Heavy Cotton T-shirts with full color print on front and back via process screen print.	Screen Print,Full Color,Front
19498	1323	Bear Shirt	Digital print on front of shirt.	Direct To Garment,Front
